t,E,c,T
0.0,1.0,0.25,4.0
0.10101010101010101,0.9295869867908595,0.24087719111769015,3.859173973581719
0.20202020202020202,0.8636562171283947,0.23171017518970186,3.727312434256789
0.30303030303030304,0.8019881499294873,0.22252869697308209,3.6039762998589744
0.40404040404040403,0.7443646500045381,0.21336268480406362,3.4887293000090764
0.5050505050505051,0.6905705954920478,0.20424186879077189,3.3811411909840956
0.6060606060606061,0.6403951777209379,0.19519539755373544,3.2807903554418756
0.7070707070707071,0.5936328910791719,0.18625145552724418,3.187265782158344
0.8080808080808081,0.5500845495368589,0.17743695003644014,3.100169099073718
0.9090909090909091,0.5095578191851173,0.16877717855821664,3.0191156383702347
1.0101010101010102,0.47186775111867446,0.1602955668945248,2.943735502237349
1.1111111111111112,0.43683715197795536,0.15201345238623729,2.8736743039559105
1.2121212121212122,0.40429680829572506,0.14394991354654774,2.80859361659145
1.3131313131313131,0.3740856047750802,0.13612165190985792,2.7481712095501605
1.4141414141414141,0.3460505290568953,0.12854291929863665,2.6921010581137907
1.5151515151515151,0.32004662849764093,0.12122550127713648,2.6400932569952817
1.6161616161616161,0.29593688517745037,0.11417874148127524,2.591873770354901
1.7171717171717171,0.2735920416197959,0.10740960711085812,2.547184083239592
1.8181818181818181,0.2528903940601527,0.10092279231251378,2.5057807881203056
1.9191919191919191,0.2337175177495772,0.09472083940896822,2.4674350354991543
2.0202020202020203,0.2159660248081332,0.08880430061448896,2.4319320496162664
2.121212121212121,0.1995352596849076,0.08317190264891475,2.399070519369815
2.2222222222222223,0.18433100135927824,0.07782072796697806,2.3686620027185565
2.323232323232323,0.17026515485947297,0.07274640031468708,2.340530309718946
2.4242424242424243,0.157255442929997,0.06794327211451684,2.314510885859994
2.525252525252525,0.14522509797328872,0.06340460850460507,2.2904501959465775
2.6262626262626263,0.13410256340921994,0.0591227670829413,2.2682051268184398
2.727272727272727,0.12382119816972503,0.055089367584177276,2.24764239633945
2.8282828282828283,0.11431895548389595,0.051295436966812005,2.228637910967792
2.929292929292929,0.10553811483750115,0.047731558695746,2.2110762296750024
3.0303030303030303,0.09742508300552657,0.04438803364085125,2.194850166011053
3.131313131313131,0.08993005601704578,0.04125496655522973,2.1798601120340915
3.2323232323232323,0.0830067971085871,0.03832238049207021,2.166013594217174
3.3333333333333335,0.07661240440384871,0.03558030916719337,2.1532248088076975
3.4343434343434343,0.07070708886488966,0.03301887584392935,2.1414141777297795
3.5353535353535355,0.0652539642938937,0.030628360222600747,2.1305079285877873
3.6363636363636362,0.06021885017675753,0.028399254628758,2.120437700353515
3.7373737373737375,0.05557008675713279,0.026322310310939328,2.1111401735142654
3.8383838383838382,0.05127834388017806,0.024388566633511206,2.102556687760356
3.9393939393939394,0.04731647404108818,0.02258938688251354,2.094632948082176
4.040404040404041,0.04365936085028637,0.020916480265513248,2.087318721700573
4.141414141414141,0.04028376525230895,0.019361911911861176,2.080567530504618
4.242424242424242,0.03716818141506776,0.017918107246771245,2.0743363628301354
4.343434343434343,0.034292734831279724,0.01657786701792591,2.0685854696625596
4.444444444444445,0.031639036865455196,0.015334354233815947,2.06327807373091
4.545454545454545,0.029190090184221945,0.014181097574985884,2.058380180368444
4.646464646464646,0.026930185855301405,0.013111984741626816,2.053860371710603
4.747474747474747,0.02484480625043449,0.012121252944303515,2.049689612500869
4.848484848484849,0.022920541582285684,0.01120348094038246,2.0458410831645715
4.94949494949495,0.021144997166654474,0.010353572325832752,2.042289994333309
5.05050505050505,0.01950672735807545,0.00956674773918594,2.0390134547161507
5.151515151515151,0.01799515832514599,0.00883852844386435,2.035990316650292
5.252525252525253,0.01660052491296348,0.008164723756356873,2.033201049825927
5.353535353535354,0.015313810929295062,0.007541417621059768,2.03062762185859
5.454545454545454,0.014126688530035767,0.00696495254972149,2.0282533770600715
5.555555555555555,0.013031472364198802,0.006431918809879683,2.0260629447283978
5.656565656565657,0.012021063751654005,0.005939137129760338,2.024042127503308
5.757575757575758,0.0110889112964249,0.005483647962376832,2.02217782259285
5.858585858585858,0.01022896712792733,0.0050626973986937825,2.020457934255855
5.959595959595959,0.009435648005751324,0.004673724384705683,2.0188712960115027
6.0606060606060606,0.008703802444782499,0.0043143499725525,2.017407604889565
6.161616161616162,0.008028673060075875,0.003982363436003862,2.0160573461201516
6.262626262626262,0.0074058729449712505,0.0036757145971968094,2.0148117458899426
6.363636363636363,0.006831352868678752,0.0033925010624742467,2.0136627057373575
6.4646464646464645,0.0063013730647872405,0.003130957203007587,2.0126027461295743
6.565656565656566,0.005812486094566603,0.002889448169974355,2.011624972189133
6.666666666666667,0.005361508505064675,0.002666458015205416,2.0107230170101293
6.767676767676767,0.004945503244282694,0.002460582801911667,2.0098910064885653
6.8686868686868685,0.004561762390505313,0.0022705236060597787,2.0091235247810104
6.96969696969697,0.0042077844088919,0.002095076573902847,2.008415568817784
7.070707070707071,0.0038812631650915136,0.0019331286017105528,2.007762526330183
7.171717171717171,0.00358007138440003,0.0017836500975260793,2.0071601427688
7.2727272727272725,0.003302244304362773,0.0016456876893823635,2.0066044886087258
7.373737373737374,0.0030459712978838766,0.0015183607656299963,2.0060919425957677
7.474747474747475,0.0028095809891584595,0.0014008546799020034,2.005619161978317
7.575757575757575,0.0025915311592717024,0.0012924162426722174,2.0051830623185434
7.6767676767676765,0.002390400448160867,0.0011923500300342748,2.004780800896322
7.777777777777778,0.0022048760439450726,0.0011000126304755637,2.00440975208789
7.878787878787879,0.002033747514191602,0.001014809890004627,2.004067495028383
7.979797979797979,0.0018758986458787983,0.0009361931195341839,2.003751797291758
8.080808080808081,0.0017302983143135605,0.0008636547767524168,2.003460596628627
8.181818181818182,0.0015959968846188366,0.0007967268687090665,2.0031919937692377
8.282828282828282,0.0014721190487758647,0.0007349775499362486,2.0029442380975517
8.383838383838384,0.0013578547920816814,0.000678006761310931,2.0027157095841632
8.484848484848484,0.0012524583050304077,0.0006254458077189798,2.002504916610061
8.585858585858587,0.0011552422809119026,0.0005769546180869699,2.0023104845618236
8.686868686868687,0.0010655711103971818,0.0005322184386059916,2.0021311422207946
8.787878787878787,0.0009828593305270645,0.00049094713329278,2.001965718661054
8.88888888888889,0.0009065676203706078,0.0004528732499607575,2.001813135240741
8.98989898989899,0.0008361971632368273,0.00041774926087152856,2.001672394326474
9.09090909090909,0.0007712883888394099,0.0003853469807677645,2.0015425767776787
9.191919191919192,0.0007114180916840413,0.00035545616789338066,2.001422836183368
9.292929292929292,0.0006561948622460551,0.00032788227645779436,2.001312389724492
9.393939393939394,0.0006052578556467248,0.0003024458700845858,2.0012105157112936
9.494949494949495,0.0005582747706334083,0.0002789816369073488,2.001116549541267
9.595959595959595,0.0005149385182120182,0.0002573367465030833,2.001029877036424
9.696969696969697,0.00047496589513320615,0.00023737020481479524,2.0009499317902666
9.797979797979798,0.0004380961855096497,0.00021895217064405662,2.0008761923710194
9.8989898989899,0.0004040884657387204,0.0002019626221032579,2.0008081769314776
10.0,0.0003727203961121052,0.00018629076368881846,2.0007454407922243
